"site","plot","salinity","DO","Barnacle..","Diam","Alive"
"Bristol",2,25,3.3,11,34.0978240961975,0
"Bristol",2,25,3.3,12,5.13506127445638,1
"Bristol",2,25,3.3,13,4.34986909397972,0
"Bristol",2,25,3.3,14,14.0857289629405,1
"Bristol",2,25,3.3,15,2.62979017694597,1
"Bristol",2,25,3.3,16,3.65143215700599,1
"Bristol",2,25,3.3,17,10.6563345988502,1
"Bristol",2,25,3.3,18,5.91623544100677,1
"Bristol",2,25,3.3,19,8.10054706314138,1
"Bristol",2,25,3.3,20,5.35729523460948,1
"Bristol",2,25,3.3,21,7.69661965779963,1
"Hog Island",1,29,2.7,1,2.18504700878751,0
"Hog Island",1,29,2.7,2,4.12571128822851,1
"Hog Island",1,29,2.7,3,6.19524481116545,0
"Hog Island",1,29,2.7,4,4.86979673456355,1
"Hog Island",1,29,2.7,5,2.36708992973534,1
"Hog Island",1,29,2.7,6,6.0973640364955,1
"Hog Island",1,29,2.7,7,3.53478587077982,1
"Hog Island",1,29,2.7,8,1.34156518111384,1
"Hog Island",1,29,2.7,9,3.06871869080356,1
"Hog Island",1,29,2.7,10,3.39043809058433,1
"Hog Island",1,29,2.7,11,4.04654632072542,1
"Hog Island",1,29,2.7,12,3.92396684195699,1
"Hog Island",1,29,2.7,13,2.76656440750868,1
"Hog Island",1,29,2.7,14,3.7368513088754,1
"Hog Island",2,29,2.7,15,7.67553170876602,1
"Hog Island",2,29,2.7,16,2.29236532468617,1
"Hog Island",2,29,2.7,17,2.97670943560554,1
"Hog Island",2,29,2.7,18,1.89969319325505,1
"Hog Island",2,29,2.7,19,4.21384225480865,1
"Hog Island",2,29,2.7,20,2.79970702982479,1
"Hog Island",2,29,2.7,21,5.93076053460712,1
"Hog Island",2,29,2.7,22,3.83494333892361,1
"Hog Island",2,29,2.7,23,2.95593276079631,1
"Hog Island",2,29,2.7,24,7.97890133561912,0
"Hog Island",2,29,2.7,25,3.83917822772841,1
"Hog Island",2,29,2.7,26,5.14563358972728,1
"Hog Island",2,29,2.7,27,5.01203032491344,1
"Hog Island",2,29,2.7,28,1.81276586866125,0
"Hog Island",2,29,2.7,29,2.73718932582793,1
